Airports,Longitude,Latitude
ABQ,35.04,-106.61
ADQ,57.75,-152.49
ALB,42.75,-73.8
ANC,61.17,-150
ATL,33.64,-84.43
ATW,44.26,-88.52
AUS,30.19,-97.67
BDL,41.94,-72.68
BET,60.78,-161.84
BHM,33.56,-86.75
BIL,45.81,-108.54
BIS,46.77,-100.75
BLI,48.79,-122.54
BLV,42.18,-83.55
BNA,36.12,-86.68
BOI ( furthest left),43.56,-166.22
BOS,42.36,-71.01
BRW (closest to top),71.29,-156.77
BUF,42.94,-78.73
BUR,34.2,-118.36
BWI,39.18,-76.67
BZN,45.78,-111.15
CDV,60.49,-145.48
CHS,32.9,-80.04
CID,41.88,-91.71
CLE,41.41,-81.85
CLT,35.21,-80.94
CMH,40,-82.89
CRP,27.77,-97.5
CVG,39.05,-84.66
DAL,32.85,-96.85
DCA,38.85,-77.04
DEN,39.86,-104.67
DFW,32.9,-97.04
DTW,42.21,-83.35
ELP,31.81,-106.38
EUG,44.12,-123.22
EWR,40.69,-74.17
FAI,64.81,-147.86
FAR,46.92,-96.81
FAT,36.78,-119.72
FLL,26.07,-80.15
GEG,47.62,-117.53
GJT,39.12,-108.53
GSP,34.9,-82.21
GTF,47.48,-111.37
HNL,21.32,-157.92
HOU,29.65,-95.28
HPN,41.07,-73.71
IAH,29.98,-95.34
IDA,43.51,-112.07
IND,39.72,-86.29
ITO,19.72,-155.05
JAN,32.31,-90.08
JAX,30.49,-81.69
JFK,40.64,-73.78
JNU,58.35,-134.58
KOA,19.74,-156.05
KTN,55.36,-131.71
LAS,36.08,-115.15
LAX,33.94,-118.41
LGA,40.78,-73.87
LGB,33.82,-118.15
LIH,21.98,-159.34
MAF,31.94,-102.2
MCI,39.3,-94.71
MCO,28.43,-81.32
MDW,41.79,-87.75
MEM,35.04,-89.98
MFE,26.18,-98.24
MFR,42.37,-122.87
MIA,25.79,-80.29
MKE,42.95,-87.9
MOT,48.26,-101.28
MSO,46.92,-114.09
MSP,44.88,-93.22
MSY,29.99,-90.26
MYR,33.68,-78.93
OAK,37.72,-122.22
OGG,20.9,-156.43
OKC,35.39,-97.6
ONT,34.06,-117.6
ORD,41.98,-87.9
PBI,26.68,-80.1
PDX,45.59,-122.6
PHL,39.87,-75.24
PHX,33.43,-112.01
PIA,40.66,-89.69
PIT,40.49,-80.23
PSG,56.8,-132.95
PSP,33.83,-116.51
RAP,44.05,-103.06
RDU,35.88,-78.79
RFD,42.2,-89.1
RNO,39.5,-119.77
RSW,26.54,-81.76
SAN,32.73,-117.19
SAT,29.53,-98.47
SAV,32.13,-81.2
SCC,70.19,-148.47
SCK,37.89,-121.24
SDF,38.17,-85.74
SEA,47.45,-122.31
SFO,37.62,-122.37
SGF,37.24,-93.39
SIT,57.05,-135.36
SJC,37.36,-121.93
SJU (furthest right and closest to bottom),18.44,-66
SLC,40.79,-111.98
SMF,38.7,-121.59
SMX,34.9,-120.46
SNA,33.68,-117.87
SRQ,27.4,-82.55
STL,38.75,-90.36
TPA,27.98,-82.53
TUL,36.2,-95.89
WRG,56.48,-132.37
XNA,36.28,-94.31
YAK,59.5,-139.66
