Airport,X,Y
ABQ,327,372
ADQ,138,584
ALB,829,175
ANC,160,552
ATL,694,392
ATW,499,146
AUS,470,484
BDL,832,226
BET,222,577
BHM,653,409
BIL,324,123
BIS,434,120
BLI,146,21
BLV,590,293
BNA,648,358
BOI,205,155
BOS,866,168
BRW,151,455
BUF,751,185
BUR,132,349
BWI,792,254
BZN,285,125
CDV,177,553
CHS,752,350
CID,565,226
CLE,706,223
CLT,752,354
CMH,689,247
CRP,485,528
CVG,674,285
DAL,483,454
DCA,799,269
DEN,362,271
DFW,480,445
DTW,688,203
ELP,320,444
EUG,111,113
EWR,825,200
FAI,152,508
FAR,493,119
FAT,127,316
FLL,788,545
GEG,212,53
GJT,305,293
GSP,723,367
GTF,289,77
HNL,256,89
HOU,507,508
HPN,837,203
IAH,510,505
IDA,272,163
IND,648,267
ITO,355,945
JAN,608,440
JAX,754,472
JFK,830,215
JNU,225,577
KOA,340,945
KTN,174,551
LAS,184,330
LAX,126,358
LGA,126,358
LGB,134,369
LIH,278,534
MAF,382,445
MCI,517,288
MCO,757,508
MDW,625,228
MEM,602,376
MFE,452,573
MFR,126,155
MIA,788,565
MKE,613,200
MOT,431,75
MSO,257,89
MSP,534,166
MSY,757,508
MYR,773,408
OAK,95,284
OGG,278,536
OKC,484,368
ONT,145,360
ORD,625,240
PBI,788,551
PDX,129,93
PHL,818,236
PHX,223,382
PIA,594,254
PIT,739,234
PSG,227,592
PSP,164,372
RAP,390,173
RDU,775,339
RFD,599,213
RNO,133,235
RSW,766,552
SAN,141,386
SAT,455,517
SAV,759,414
SCC,151,457
SCK,164,32
SDF,658,311
SEA,144,38
SFO,83,269
SGF,540,326
SIT,218,583
SJC,105,304
SJU,355,591
SLC,261,235
SMF,114,253
SMX,97,329
SNA,135,369
SRQ,750,540
STL,590,376
TPA,745,524
TUL,498,349
WRG,235,597
XNA,530,359
YAK,202,567
